캠핑장명,운영기관,관리기관,업종,주소,주요시설,화장실(개),샤워실(개),반려동물_동반여부,전화번호,예약페이지,대표사진,데크사이트,파쇄석사이트,카라반사이트,시도,시군구,경도,위도
(주)소풍앤리조트,민간,직영,"일반야영장,카라반",강원특별자치도 춘천시 동산면 윗성골길 38-1,,0,0,불가능,033-432-6006,,https://gocamping.or.kr/upload/camp/101031/thumb/thumb_720_4997EMCJ1WgiCYz3V1pv1mPV.jpg,0,0,0,강원도,춘천시,127.846024835867,37.7589184455444
(주)수동자연마을 힐링별밤수목원캠핑장,민간,직영,일반야영장,경기 남양주시 수동면 비룡로 1516-17,"전기,무선인터넷,온수,마트.편의점",2,2,불가능,010-8957-0012,http://booking.naver.com/3/booking/svc/19384,https://gocamping.or.kr/upload/camp/6944/thumb/thumb_720_1991w7lB7x7jsOTjcaVxX3xw.jpg,15,15,0,경기도,남양주시,127.2732370588,37.7496262406254
(주)스노우라인캠핑빌리지,민간,직영,일반야영장,충청남도 예산군 예산읍 간양길 242-9,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",6,6,가능(소형견),010-9320-8305,https://camfit.co.kr/camp/676cafa85b27e5001d9b30c3,https://gocamping.or.kr/upload/camp/101018/thumb/thumb_720_0371rdU6PBOR6eW4I1KROKjT.jpg,68,0,0,충청남도,예산군,126.8769929,36.7247607
(주)아웃오브파크,민간,직영,"일반야영장,카라반",강원도 춘천시 남면 가옹개길 52-9,운동시설,0,0,불가능,1522-1861-,,https://gocamping.or.kr/upload/camp/10/thumb/thumb_720_1869epdMHtUyrinZWKFHDWty.jpg,0,0,0,강원도,춘천시,127.511168242538,37.7278638350474
(주)양촌여울체험캠프,민간,직영,"일반야영장,자동차야영장",경상남도 창원시 마산합포구 진전면 의산삼일로 60,"전기,온수,물놀이장,산책로,마트.편의점",1,1,가능(소형견),055-271-2012,http://www.yangchoncamp.co.kr/,https://gocamping.or.kr/upload/camp/11/thumb/thumb_720_4031mKP95kUbSSBNbq5bSC5o.jpg,0,0,0,경상남도,창원시,128.3753007,35.1365006
(주)운담영흥 야영장,민간,직영,일반야영장,인천 옹진군 영흥면 영흥서로380번길 101-89,,0,0,불가능,02-543-8836,,,0,0,0,인천광역시,옹진군,126.469133859435,37.285378408085
(주)지에스웹 야영장 플라움,민간,직영,일반야영장,경남 김해시 한림면 김해대로1499번길 25-19,"전기,장작판매,온수,산책로,운동장,마트.편의점",5,3,가능,055-326-9025,https://naver.me/F6xYO8eb,https://gocamping.or.kr/upload/camp/100969/thumb/thumb_720_8419TV43CJuoLkUUNs3BLLwD.jpg,0,0,0,경상남도,김해시,128.838312819476,35.2801903619395
(주)청도 프로방스 글램핑,민간,직영,"일반야영장,글램핑",경북 청도군 화양읍 이슬미로 272-23,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",10,10,가능,1661-5740-,https://pension.onda.me/bp/128049/calendar,https://gocamping.or.kr/upload/camp/100592/thumb/thumb_720_8023I12NZN8UcyJtBxQhR8yF.jpg,0,0,0,경상북도,청도군,128.718184478287,35.6841011584163
(주)청보리,민간,직영,자동차야영장,경상남도 통영시 욕지면 욕지일주로 896-71 ,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",4,4,불가능,010-8075-5005,,https://gocamping.or.kr/upload/camp/6946/thumb/thumb_720_5164DRXbLd5jzyCfltouZ6cA.jpg,28,0,0,경상남도,통영시,128.230233837187,34.6395807869932
(주)크리스월드더레지던스,민간,직영,일반야영장,경기도 가평군 가평읍 북한강변로 360-93,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",0,0,가능(소형견),,,https://gocamping.or.kr/upload/camp/8174/thumb/thumb_720_1075GVP1DygaRYbuAdgMMXUz.jpg,0,0,0,경기도,가평군,127.542095970205,37.7608499510818
(주)하이원추추파크,민간,위탁,"자동차야영장,글램핑",강원특별자치도 삼척시 도계읍 심포남길 99,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설,마트.편의점",1,1,불가능,033-553-9600,https://www.choochoopark.com/,https://gocamping.or.kr/upload/camp/3376/thumb/thumb_720_58933XdBJ2Ne7WCDaJVLfV1g.jpg,30,0,0,강원도,삼척시,129.038567576947,37.1839544390585
(주)함안레저캠프,민간,직영,일반야영장,경상남도 함안군 산인면 모곡리 809-4 ,"전기,온수,물놀이장,운동시설",0,0,가능,055-583-5114,,https://gocamping.or.kr/upload/camp/100428/thumb/thumb_720_7181YGXCLqLmPKvbQQanVrJY.jpg,7,5,0,경상남도,함안군,128.451497955535,35.2805230735981
(주)화원684,민간,직영,일반야영장,전남광주통합특별시 해남군 화원면 매봉길 528-8,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트.편의점",0,0,불가능,061-537-3377,,https://gocamping.or.kr/upload/camp/7751/thumb/thumb_720_4788WpyTd9hOTzlEzKQerP7J.jpg,0,0,0,전남광주통합특별시,해남군,126.291555269143,34.7595260254219
15.3(십오점삼),,직영,일반야영장,경상남도 합천군 가야면 가조가야로 2850-1,,0,0,,,,,0,0,0,경상남도,합천군,128.137413767851,35.7561175113514
197캠프,민간,직영,일반야영장,경상남도 함안군 산인면 입곡공원길 224-67,,0,0,,,,,0,0,0,경상남도,함안군,128.44519780749,35.2590676381132
208덕동 캠핑장,민간,직영,일반야영장,충북 제천시 백운면 덕동로 277,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",2,2,가능(소형견),,https://www.camfit.co.kr/camp/642cf3c6e4f4fb001e6f8fe1,https://gocamping.or.kr/upload/camp/100802/thumb/thumb_720_84835xPVCGPyYlvDvTrMTu2T.jpg,10,1,1,충청북도,제천시,127.9734910,37.2047610
279캠핑장,민간,직영,일반야영장,강원 양양군 현북면 어성전길 279,"전기,무선인터넷,장작판매,온수,운동시설",1,1,가능(소형견),,,https://gocamping.or.kr/upload/camp/100584/thumb/thumb_720_9432nsX1c2uLhfu5zsz7yMWh.jpg,7,8,0,강원도,양양군,128.6683751,37.9401714
2918캠핑스테이,민간,직영,일반야영장,경기 가평군 가평읍 당목가일길 473-47,"전기,무선인터넷,장작판매,온수",0,0,가능(소형견),,,https://gocamping.or.kr/upload/camp/101173/thumb/thumb_720_3595vgm23Zbj6K9Ehq10ENOh.jpg,0,0,0,경기도,가평군,127.5619131,37.8734493
342 camp,민간,직영,일반야영장,강원 강릉시 구정면 새끼미길 53-11,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",0,0,가능,,,https://gocamping.or.kr/upload/camp/100589/thumb/thumb_720_5437VgFkZp4k2LyQJkQWcVM1.jpg,8,16,0,강원도,강릉시,128.8873785,37.7245870
42ft CAMP,민간,직영,일반야영장,강원특별자치도 삼척시 근덕면 덕산해변1길 72,,0,0,,,,,0,0,0,강원특별자치도,삼척시,129.240220237408,37.38458812991
474오토캠핑장,민간,직영,일반야영장,충북 옥천군 이원면 의평길 74-47,"전기,무선인터넷,장작판매,온수,운동시설",4,4,불가능,0507-1377-7076,"https://map.naver.com/p/entry/place/1216087870?c=15.00,0,0,0,dh",https://gocamping.or.kr/upload/camp/101051/thumb/thumb_720_5332NNpxSasUy3dzQjRGKNgt.jpg,1,25,14,충청북도,옥천군,127.6192622,36.2109716
485캠핑장,,직영,"일반야영장,자동차야영장",경기 가평군 설악면 다락재로485번길 162-69,"전기,무선인터넷,장작판매,온수,운동시설",0,0,가능,,,https://gocamping.or.kr/upload/camp/100437/thumb/thumb_720_8859HrwKi6hGtMiljOpR4g1Y.jpg,7,0,0,경기도,가평군,127.4508378,37.6491169
505펜션&캠핑(오공오),민간,직영,일반야영장,충남 공주시 사곡면 호계황골길 43,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",2,2,불가능,010-7330-2505,,https://gocamping.or.kr/upload/camp/28/thumb/thumb_720_9612Elzm89JB6yhSrST7k95L.jpg,0,0,0,충청남도,공주시,127.0207700,36.5017433
516 글램라반,민간,직영,"카라반,글램핑",경기 가평군 가평읍 북한강변로 516,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점",2,1,가능(소형견),,http://516glamravan.co.kr,https://gocamping.or.kr/upload/camp/2350/thumb/thumb_720_2235TnLXrh3m7uVlJOH7EqqH.jpg,0,0,0,경기도,가평군,127.5361162,37.7722779
600마지기 가는길 야영장,지자체,위탁,자동차야영장,강원특별자치도 평창군 미탄면 청옥산길 243,"전기,무선인터넷,운동시설",0,0,가능,033-333-3886,,https://gocamping.or.kr/upload/camp/101006/thumb/thumb_720_3803qX4ytxL2pAgoPqsVinLo.jpg,0,0,0,강원도,평창군,128.4903624,37.3613156
7BLOCK(세븐블럭),민간,직영,일반야영장,경기도 포천시 해룡로 50-109 (설운동),,0,0,,010-3457-9821,http://www.7block.net/page/sub0101,https://gocamping.or.kr/upload/camp/100322/thumb/thumb_720_8913z0JieDvs5dXqWX8GKpr9.jpg,0,0,0,경기도,포천시,127.136639229165,37.8613680196666
80 SS 오토캠핑장,민간,직영,자동차야영장,대구광역시 군위군 부계면 한티로 1525-6,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",2,2,불가능,054-382-0007,http://80sscamping.com/04_reservation/sub_02_1.php,https://gocamping.or.kr/upload/camp/29/thumb/thumb_720_2945G8vcNTsfBNwFQxxMjZ3o.jpg,24,0,0,대구광역시,군위군,128.630759099056,36.0298780258566
80포레스트카라반캠프,민간,직영,일반야영장,대구광역시 군위군 부계면 한티로 1525-6,"전기,무선인터넷,온수,물놀이장,놀이터,산책로,마트.편의점",1,1,가능,010-8245-0989,http://forestcaravanpark.net/			,https://gocamping.or.kr/upload/camp/101337/thumb/thumb_720_8211Jbkxh9QUE6ByzOtJlGuB.jpg,0,0,0,대구광역시,군위군,128.630759099056,36.0298780258566
BABO글램핑,민간,직영,"일반야영장,글램핑",경남 산청군 생비량면 상능로150번길 178,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장,운동시설,마트.편의점",2,2,불가능,010-3862-5960,http://baboglamping.co.kr,https://gocamping.or.kr/upload/camp/7494/thumb/thumb_720_6907w1kZy7gVMuOkhxxIcmox.jpg,0,0,0,경상남도,산청군,128.0664068,35.3843285
BE HAPPY,민간,직영,"일반야영장,글램핑",경북 문경시 가은읍 죽문길 206,,0,0,불가능,010-2053-7272,,https://gocamping.or.kr/upload/camp/101566/thumb/thumb_720_2602aI1wMXXjoQiznHiU80so.jpg,8,0,0,경상북도,문경시,127.994224805598,36.6540415191449
CAMP699,민간,직영,일반야영장,강원특별자치도 인제군 북면 진부령로 69-7,"전기,장작판매,온수,마트.편의점",3,5,불가능,033-462-7001,https://camp699.imweb.me/19,https://gocamping.or.kr/upload/camp/101289/thumb/thumb_720_1318yMS09sB7T4v9FQnopdPH.jpg,0,0,0,강원도,인제군,128.3675544,38.2212233
Camp 1950 by 민들레울,민간,직영,일반야영장,경상북도 김천시 대덕면 남김천대로 160,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,운동시설,마트.편의점",3,3,불가능,055-942-5006,,https://gocamping.or.kr/upload/camp/36/thumb/thumb_720_6584FNZQ0Vf9joqf5ZWYUCEw.jpg,9,0,0,경상북도,김천시,127.941738018977,35.87841312776
DMZ 캠핑장,민간,직영,자동차야영장,강원도 철원군 철원읍 독서당길 225-134 ,"전기,무선인터넷,장작판매",1,1,불가능,010-4761-7283,,https://gocamping.or.kr/upload/camp/39/thumb/thumb_720_5536war4pQYi7qRqZbE4RfaZ.jpg,0,0,0,강원도,철원군,127.1806653,38.2201219
DS Camp 캠핑장,민간,직영,일반야영장,충남 금산군 남일면 금산로 79,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터",3,8,가능(소형견),010-4940-7573,https://m.thankqcamping.com/resv/view.hbb?cseq=17608&go_main=Y&path=RP,https://gocamping.or.kr/upload/camp/101246/thumb/thumb_720_0881z88bhRBsqNJ9bHRuG3nZ.jpg,0,0,0,충청남도,금산군,127.512047738899,35.9895921868538
F1오토캠핑장,공립,직영,자동차야영장,전남광주통합특별시 영암군 삼호읍 삼포리 1894,"온수,운동장",5,2,불가능,1577-2324-,,https://gocamping.or.kr/upload/camp/42/thumb/thumb_720_0540YfGU2yWwYfBTWih8DB6K.jpg,0,0,0,전남광주통합특별시,영암군,126.417549531497,34.7303509056001
GO(지오)글램핑,민간,직영,글램핑,충북 괴산군 청천면 대티길 284,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",5,5,가능,0507-1427-0350,"https://map.naver.com/p/entry/place/1333975450?c=19.00,0,0,0,dh&isCorrectAnswer=true",https://gocamping.or.kr/upload/camp/100722/thumb/thumb_720_5235hDpLXONqEdKc2opdS1pl.jpg,0,0,0,충청북도,괴산군,127.8005961,36.6960025
H camping,민간,직영,일반야영장,강원특별자치도 홍천군 서면 팔봉산로 994,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점",0,10,가능(소형견),,,https://gocamping.or.kr/upload/camp/101538/thumb/thumb_720_8666dZRlNH1U1jmW0ACXgBPF.jpg,10,0,0,강원도,홍천군,127.688796733399,37.6978167919343
HJ,민간,직영,일반야영장,전라북도 무주군 설천면 삼공리 449-3 ,,0,0,,,,,0,0,0,전라북도,무주군,127.777079328418,35.8936019537078
HJ글램핑&쌤초이글램핑,민간,직영,일반야영장,경기 포천시 이동면 금강로 6169,,0,0,불가능,1688-0872-,,https://gocamping.or.kr/upload/camp/7506/thumb/thumb_720_0472W7YeeKOcSubY8UkKlLfX.jpg,0,0,0,경기도,포천시,127.390164,38.0788343
I(아이)캠핑,민간,직영,일반야영장,강원도 양양군 서면 서림리 280-7 ,,0,0,,,,https://gocamping.or.kr/upload/camp/100426/thumb/thumb_720_1206dRtscTi2n9yr6LlPiBdB.jpg,0,0,0,강원도,양양군,128.521495382015,37.9723001266489
JH웨스턴 글램핑,민간,직영,글램핑,경기 가평군 가평읍 북한강변로 326-430,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점",0,0,불가능,010-8718-6549,,https://gocamping.or.kr/upload/camp/100948/thumb/thumb_720_4574LKFV4qY4NPMbyCOdpLAK.jpg,0,0,0,경기도,가평군,127.5407866,37.7579539
K-글램핑 애월점,민간,직영,글램핑,제주특별자치도 제주시 애월읍 소길남길 120,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",0,0,가능,,,https://gocamping.or.kr/upload/camp/100326/thumb/thumb_720_3183Dt6jugI1hFwmrxPp6ofI.jpg,0,0,0,제주특별자치도,제주시,126.3763973,33.4242393
KEROAIN CAMP,민간,직영,일반야영장,강원특별자치도 영월군 무릉도원면 학산길 26-9,"전기,무선인터넷,장작판매,온수,물놀이장,마트.편의점",6,6,가능,010-7273-2587,https://pawscamp.co.kr/reservation.php,https://gocamping.or.kr/upload/camp/7748/thumb/thumb_720_4642RFPN00pMBtdooBXhdpsR.jpg,13,2,0,강원특별자치도,영월군,128.188241078746,37.3192842799485
KHK 캠핑장,민간,직영,일반야영장,강원특별자치도 홍천군 서면 아우라치길 6,"전기,장작판매,온수,마트.편의점",1,2,불가능,010-8639-1388,https://www.camfit.co.kr/camp/655c14eff05d30001e8206b4,https://gocamping.or.kr/upload/camp/101181/thumb/thumb_720_2106XwRvWkaX30fvOBIsCMuw.jpg,0,0,0,강원도,홍천군,127.6165503,37.6494941
LAFORESTA(라포레스타),민간,직영,일반야영장,충북 제천시 금성면 산곡3길 153,"전기,장작판매,온수,물놀이장,놀이터,운동시설,마트.편의점",2,2,불가능,,http://cafe.naver.com/dalsurp,https://gocamping.or.kr/upload/camp/701/thumb/thumb_720_6830iv5c8P0tKWXNhs0Pz16q.jpg,10,30,0,충청북도,제천시,128.188836141834,37.0884867658915
Lazy Joe,민간,직영,"글램핑,캠프닉",경기 양평군 서종면 거북바위1길 58-17,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,마트.편의점",8,13,불가능,010-3940-5817,https://naver.me/5PVmIPB2,https://gocamping.or.kr/upload/camp/101583/thumb/thumb_720_3497WM2O6yOYJlnYALJF586N.jpg,5,2,0,경기도,양평군,127.42201186603,37.571125076249
Little 80,민간,직영,일반야영장,경북 경산시 와촌면 갓바위로 67-25,"전기,무선인터넷,온수,트렘폴린,물놀이장,운동시설",2,2,가능,010-3535-7938,https://naver.me/5u90Rxe6,https://gocamping.or.kr/upload/camp/100376/thumb/thumb_720_0130dJYhTHoN8XYwROhMYf3J.jpg,8,22,0,경상북도,경산시,128.788081052356,35.965650827035
Moon글램핑,민간,직영,글램핑,경기 안산시 단원구 대부황금로 90 (선감동),"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",0,0,가능,0507-1480-8765,,https://gocamping.or.kr/upload/camp/100653/thumb/thumb_720_7935uGARjh8TnrUIowZR5Q59.jpg,0,0,0,경기도,안산시,126.6451584,37.1998281
NATURE80,민간,직영,일반야영장,경북 칠곡군 지천면 신동재로 80,,0,0,,,,,0,0,0,경상북도,칠곡군,128.513737709548,35.9299427820527
O2카라반,민간,직영,카라반,강원 삼척시 근덕면 초곡길 370,"전기,무선인터넷,장작판매,물놀이장",0,0,불가능,,,https://gocamping.or.kr/upload/camp/100853/thumb/thumb_720_4358GhAErc4XDZ3a7x7phs69.jpg,0,0,0,강원도,삼척시,129.2877333,37.3094410
ROCKON글램핑,민간,직영,일반야영장,전남광주통합특별시 영암군 영암읍 녹암대동보길 69-10,,0,0,,061-472-0607,https://www.rockonglamping.co.kr/,,0,0,0,전남광주통합특별시,영암군,126.680808391737,34.7885213852396
SE클럽(태안둘레길캠핑장&펜션),민간,직영,일반야영장,충남 태안군 이원면 꾸지나무길 37-99,"전기,장작판매,온수,물놀이장,놀이터,운동시설",3,2,가능(소형견),010-9703-1711,https://m.thankqcamping.com/resv/view.hbb?cseq=1537&go_main=Y&path=RP,https://gocamping.or.kr/upload/camp/3139/thumb/thumb_720_0154EvDBQbPWa9tWMentKPn9.jpg,0,0,0,충청남도,태안군,126.294158190462,36.9316110146866
SOL Camping,민간,직영,일반야영장,충북 괴산군 연풍면 원풍로새터길 68,"전기,무선인터넷,온수,산책로",3,2,불가능,0507-1422-9921,https://naver.me/F5DlkAPt,https://gocamping.or.kr/upload/camp/101311/thumb/thumb_720_5560fnLbbF0zqVsKqr0b0Px2.jpg,5,0,0,충청북도,,128.0235752,36.8032645
STX오토캠핑장,민간,직영,자동차야영장,경북 문경시 농암면 청화로 411,"전기,무선인터넷,장작판매,온수,산책로,마트.편의점",1,1,불가능,054-460-5000,,https://gocamping.or.kr/upload/camp/100990/thumb/thumb_720_92829KMg6kHOw7YIssUFYb9o.jpg,19,0,0,경상북도,문경시,127.955756731062,36.5704993438233
THE BON(더 본),민간,직영,자동차야영장,경기 양평군 서종면 화서로 706-44,,0,0,불가능,,https://m.thankqcamping.com/resv/view.hbb?cseq=14357&go_main=Y&path=RP&fbclid=PAZXh0bgNhZW0CMTEAAaa-yOKhONr1ajEQrzGc44-z_uy5x7T8mfwemIwNbkheX7tsEiSXBYrOF2o_aem_NOgWrFIxdSi9v2t_79zUCA,https://gocamping.or.kr/upload/camp/101271/thumb/thumb_720_16613VBiGxo3xExPaMspD1O1.jpg,5,4,3,경기도,양평군,127.431952386803,37.6360632902653
THE쉼오토캠핑장,민간,직영,자동차야영장,충남 태안군 태안읍 안도내길 58-10,"전기,장작판매,온수,물놀이장,놀이터,산책로",1,1,가능(소형견),,https://www.camfit.co.kr/camp/6556dfbd552409001efe4488,https://gocamping.or.kr/upload/camp/100709/thumb/thumb_720_2649l2vNab9DmmnTVk3VkLJw.jpg,30,0,0,충청남도,태안군,126.328225128096,36.8133968258359
TITF 카라반,민간,직영,"카라반,글램핑",경북 포항시 남구 장기면 동해안로3072번길 23-17,"전기,무선인터넷,장작판매,온수,물놀이장,운동시설",17,17,가능(소형견),1522-3726-,http://titfcaravan.com/,https://gocamping.or.kr/upload/camp/100843/thumb/thumb_720_55654VzV5PWHP5fScXbVY5ed.jpg,0,0,0,경상북도,포항시,129.5321547,35.8682240
The Star 오토캠핑장,민간,직영,일반야영장,전남광주통합특별시 여수시 돌산읍 상하동길 268,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",2,2,가능,061-641-1490,,https://gocamping.or.kr/upload/camp/57/thumb/thumb_720_8045usCSpmaGB9XJvDDXLikG.jpg,15,13,0,전남광주통합특별시,여수시,127.7818433,34.7181692
The Stay 309,민간,직영,일반야영장,전남광주통합특별시 여수시 돌산읍 백초길 62,"전기,무선인터넷,온수,물놀이장,운동시설",14,14,가능,,"https://map.naver.com/p/entry/place/1929068807?c=15.00,0,0,0,dh",https://gocamping.or.kr/upload/camp/100786/thumb/thumb_720_16554uYDAZ95tilEVbbSGP6g.jpg,0,0,0,전남광주통합특별시,여수시,127.7497766,34.7304758
WonderWood Glamping(원더우드 글램핑),,직영,일반야영장,경기도 포천시 이동면 화동로1823번길 18,,0,0,,,,,0,0,0,경기도,포천시,127.366245753991,38.0124047463279
Y글램핑,민간,직영,글램핑,충남 아산시 송악면 강당로115번길 12,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동장,마트.편의점",10,10,가능,041-544-8800,"https://map.naver.com/p/entry/place/1127141350?c=19.00,0,0,0,dh&isCorrectAnswer=true",https://gocamping.or.kr/upload/camp/100536/thumb/thumb_720_27730Ba8y5eLqILa3qZMu9Nx.jpg,0,0,0,충청남도,아산시,127.0188057,36.7231734
camp.ion,민간,직영,일반야영장,제주특별자치도 서귀포시 동홍로 297 (동홍동),,0,0,,,,,0,0,0,제주특별자치도,서귀포시,126.56727748123,33.273577880959
moon(문글램핑),민간,직영,글램핑,대전 동구 산내로 237 (하소동),"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,산책로,운동시설,마트.편의점",27,27,가능(소형견),,https://m.booking.naver.com/booking/3/bizes/758137/items/4620979?area=plt,https://gocamping.or.kr/upload/camp/100549/thumb/thumb_720_74939GavEyignCjYkvaycwn1.jpg,0,0,0,대전광역시,동구,127.4396138,36.2080859
outside,민간,직영,일반야영장,경기 파주시 법원읍 자운서원로 110,,0,0,불가능,,,https://gocamping.or.kr/upload/camp/101017/thumb/thumb_720_8023AHPllAmlsoueNdn4uxTW.jpg,0,0,0,경기도,파주시,126.872567316849,37.8585034104351
pause 글램핑,민간,직영,글램핑,경북 청도군 각북면 송내길 89-52,"전기,무선인터넷,장작판매,온수,놀이터,운동시설",10,10,가능,,"https://map.naver.com/v5/search/pause%20%EA%B8%80%EB%9E%A8%ED%95%91/place/1255259923?c=18.7,0,0,0,dha&isCorrectAnswer=true",https://gocamping.or.kr/upload/camp/100460/thumb/thumb_720_0610mnP8StiNtgWRh1FYJRwq.jpg,0,0,0,경상북도,청도군,128.5675514,35.7232424
